Date,Open,High,Low,Close,Volume,Adj Close
2/01/2014,5352.2,5383.4,5352.2,5367.9,279295800,5367.9
31/12/2013,5356.8,5367.4,5338.9,5352.2,265897600,5352.2
30/12/2013,5324.1,5356.8,5324.1,5356.8,311508400,5356.8
27/12/2013,5327.2,5365.3,5319.7,5324.1,228752700,5324.1
24/12/2013,5291.9,5329.7,5291.9,5327.2,246763400,5327.2
23/12/2013,5265.2,5293.5,5257.4,5291.9,479644900,5291.9
20/12/2013,5202.2,5265.2,5202.2,5265.2,1353735400,5265.2
19/12/2013,5096.1,5202.2,5096.1,5202.2,824137800,5202.2
18/12/2013,5103.2,5115.6,5093.3,5096.1,657348800,5096.1
17/12/2013,5089.6,5134.7,5084.3,5103.2,626687600,5103.2
16/12/2013,5098.4,5101.2,5059.7,5089.6,498762400,5089.6
13/12/2013,5062.5,5098.4,5047.5,5098.4,654104400,5098.4
12/12/2013,5104.3,5115.7,5028.2,5062.5,919772900,5062.5
11/12/2013,5137.9,5142,5104.2,5104.3,612009600,5104.3
10/12/2013,5144.4,5185.4,5140.7,5143.6,751937300,5143.6
9/12/2013,5186,5207.6,5133.5,5144.4,603803800,5144.4
6/12/2013,5198,5198.6,5154.6,5186,533060500,5186
5/12/2013,5273.8,5276.7,5198,5198,895804100,5198
4/12/2013,5256.1,5278.3,5227.6,5273.8,693041600,5273.8
3/12/2013,5279.5,5283.8,5253.2,5256.1,692546800,5256.1
2/12/2013,5320,5332.7,5269.5,5279.5,579714100,5279.5
29/11/2013,5334.3,5339.2,5308.1,5320.1,626814500,5320.1
28/11/2013,5332.9,5367.1,5332.9,5334.3,628909300,5334.3
27/11/2013,5357,5362.4,5332.9,5332.9,500314700,5332.9
26/11/2013,5352.8,5375.1,5345,5357,950858000,5357
25/11/2013,5335.9,5374.1,5335.9,5352.8,581379600,5352.8
22/11/2013,5288.3,5352.6,5288.3,5335.9,549508600,5335.9
21/11/2013,5307.7,5307.7,5284.9,5288.3,725624300,5288.3
20/11/2013,5352.9,5352.9,5296.2,5307.7,569291500,5307.7
19/11/2013,5384.7,5384.7,5345,5352.9,578273800,5352.9
18/11/2013,5401.7,5404,5357.4,5384.7,452285100,5384.7
15/11/2013,5355.4,5406.1,5340.6,5401.7,567465400,5401.7
14/11/2013,5319.2,5377.8,5319.2,5355.4,604708200,5355.4
13/11/2013,5393.1,5393.1,5308.5,5319.2,712534700,5319.2
12/11/2013,5387.1,5420.9,5386.1,5393.1,593552500,5393.1
11/11/2013,5400.7,5439.2,5372.6,5387.1,618963900,5387.1
8/11/2013,5422,5422,5379.9,5400.7,596859000,5400.7
7/11/2013,5420.6,5427.2,5409.1,5422,649144300,5422
6/11/2013,5432,5433.8,5406,5433.8,596994900,5433.8
5/11/2013,5390.5,5438.4,5390.5,5432,410162500,5432
4/11/2013,5411.1,5430.5,5388.8,5390.5,480767600,5390.5
1/11/2013,5425.5,5425.9,5405.4,5411.1,461718100,5411.1
31/10/2013,5430.9,5446.1,5398.6,5425.5,678068200,5425.5
30/10/2013,5415.5,5444.1,5415.5,5430.9,590433600,5430.9
29/10/2013,5441.4,5444.3,5408.4,5415.5,588199400,5415.5
28/10/2013,5386.3,5457.3,5386.3,5441.4,839390600,5441.4
25/10/2013,5372.9,5397.1,5372.9,5386.3,708908100,5386.3
24/10/2013,5356.1,5384.5,5353.6,5372.9,525110300,5372.9
23/10/2013,5373.1,5402.4,5355,5356.1,682840900,5356.1
22/10/2013,5351.8,5380.4,5351.8,5373.1,675367000,5373.1
21/10/2013,5321.5,5366.1,5321.5,5351.8,536170100,5351.8
18/10/2013,5283.2,5326.5,5283.2,5321.5,629824100,5321.5
17/10/2013,5262.9,5294.1,5262.9,5283.1,709873700,5283.1
16/10/2013,5259.1,5269.9,5230.5,5262.9,566346400,5262.9
15/10/2013,5207.9,5266.9,5207.9,5259.1,0,5259.1
14/10/2013,5230.9,5230.9,5186.8,5207.9,0,5207.9
11/10/2013,5147.1,5239.6,5147.1,5230.9,571839000,5230.9
10/10/2013,5153,5153,5126.8,5147.1,529167600,5147.1
9/10/2013,5144.8,5157.9,5118.9,5153,479794200,5153
8/10/2013,5161.1,5165.6,5126.7,5149.4,587783600,5149.4
7/10/2013,5208,5214.2,5146.1,5161.1,0,5161.1
4/10/2013,5234.9,5234.9,5197.7,5208,412505200,5208
3/10/2013,5215.6,5260.3,5213.8,5234.9,453704500,5234.9
2/10/2013,5206.8,5231.1,5206.8,5215.6,510555600,5215.6
1/10/2013,5218.9,5243.1,5201.8,5206.8,504449900,5206.8
30/09/2013,5307.1,5307.1,5218.9,5218.9,561519700,5218.9
27/09/2013,5294.5,5314.3,5294.5,5307.1,567079100,5307.1
26/09/2013,5275.9,5294.5,5249.3,5294.5,471279100,5294.5
25/09/2013,5234.2,5283.8,5230.5,5275.9,558598200,5275.9
24/09/2013,5252.5,5252.5,5217.9,5234.2,491863600,5234.2
23/09/2013,5276.7,5276.7,5227.4,5252.5,509901900,5252.5
20/09/2013,5295.5,5295.5,5268.8,5276.7,1202889300,5276.7
19/09/2013,5238.2,5300.1,5238.2,5295.6,1119779800,5295.6
18/09/2013,5251.2,5254.5,5227.7,5238.1,655820800,5238.1
17/09/2013,5248,5263.4,5227.6,5251.2,585161000,5251.2
16/09/2013,5219.6,5266.1,5219.6,5248,499429400,5248
13/09/2013,5242.5,5242.5,5208.2,5219.6,655170400,5219.6
12/09/2013,5234.4,5252.1,5228.9,5242.5,745320700,5242.5
11/09/2013,5201.2,5234.4,5201.2,5234.4,693858800,5234.4
10/09/2013,5181.5,5212.4,5181.5,5201.2,549095900,5201.2
9/09/2013,5145,5181.5,5145,5181.5,543698100,5181.5
6/09/2013,5142.5,5156.9,5115.1,5145,628791400,5145
5/09/2013,5161.6,5172.1,5116.4,5142.5,650101900,5142.5
4/09/2013,5196.6,5196.6,5152.7,5161.6,702483700,5161.6
3/09/2013,5188.3,5207.7,5187.7,5196.6,724788600,5196.6
2/09/2013,5135,5191.1,5126.6,5188.3,0,5188.3
30/08/2013,5092.4,5135,5075.9,5135,871891200,5135
29/08/2013,5087.2,5098.8,5064.1,5092.4,781007200,5092.4
28/08/2013,5141.2,5141.2,5076.4,5087.2,730863800,5087.2
27/08/2013,5135,5143.8,5108.9,5141.2,577509000,5141.2
26/08/2013,5123.4,5157.1,5123.4,5135.4,619820800,5135.4
23/08/2013,5078.1,5142.1,5078.1,5123.4,867507200,5123.4
22/08/2013,5100,5100,5028,5075.7,843953500,5075.7
21/08/2013,5078.2,5106.7,5069.5,5100,621735000,5100
20/08/2013,5112.5,5112.5,5057.4,5078.2,635173200,5078.2
19/08/2013,5113.9,5127.4,5098.8,5112.5,650716900,5112.5
16/08/2013,5152.4,5152.4,5101.3,5113.9,699263800,5113.9
15/08/2013,5157.4,5165.1,5141.6,5152.4,770522000,5152.4
14/08/2013,5157.7,5168.2,5143,5157.4,636855800,5157.4
13/08/2013,5108.7,5160.9,5108.7,5157.7,688770300,5157.7
12/08/2013,5055.2,5109.8,5048.1,5108.7,600345300,5108.7
9/08/2013,5064.8,5076.7,5023.1,5055.2,574094300,5055.2
8/08/2013,5011.3,5082.9,5011.3,5064.8,735128900,5064.8
7/08/2013,5105.6,5105.6,5007.9,5011.3,707458900,5011.3
6/08/2013,5111.3,5117.7,5087.1,5105.6,581265900,5105.6
5/08/2013,5116.8,5116.8,5100.4,5111.3,408365500,5111.3
2/08/2013,5061.5,5116.8,5061.5,5116.8,627316300,5116.8
1/08/2013,5052,5092.3,5030.1,5061.5,679430900,5061.5
31/07/2013,5047.2,5098.5,5047.2,5052,632579400,5052
30/07/2013,5046.3,5055.2,5025.6,5047.2,668395100,5047.2
29/07/2013,5042,5059.5,5035,5046.3,0,5046.3
26/07/2013,5035.6,5062.6,5026.5,5042,0,5042
25/07/2013,5035.1,5038,5007.4,5035.6,0,5035.6
24/07/2013,5017.1,5053.8,5017.1,5035.1,0,5035.1
23/07/2013,5001.9,5027.6,5001.9,5017.1,0,5017.1
22/07/2013,4974.9,5026.7,4974.9,5001.9,0,5001.9
19/07/2013,4993.4,5010.1,4962.1,4972.1,0,4972.1
18/07/2013,4981.7,5008.8,4981.7,4993.4,0,4993.4
17/07/2013,4986,4996.1,4978.9,4981.7,0,4981.7
16/07/2013,4981.1,4999.3,4973.7,4986,0,4986
15/07/2013,4973.9,4995.8,4960.1,4981.1,0,4981.1
12/07/2013,4965.7,5012.5,4965.7,4973.9,0,4973.9
11/07/2013,4901.4,4965.7,4901.4,4965.7,0,4965.7
10/07/2013,4881.7,4950.8,4881.7,4901.4,0,4901.4
9/07/2013,4809.5,4894.9,4809.5,4881.7,0,4881.7
8/07/2013,4841.7,4853.5,4786.1,4809.5,0,4809.5
5/07/2013,4794.7,4853.4,4794.7,4841.7,564258800,4841.7
4/07/2013,4744.1,4801.1,4744.1,4794.7,0,4794.7
3/07/2013,4834,4834,4720.2,4744.1,0,4744.1
2/07/2013,4710.3,4834,4710.3,4834,0,4834
1/07/2013,4802.6,4802.6,4702.7,4710.3,0,4710.3
28/06/2013,4811.3,4833.4,4795.6,4802.6,0,4802.6
27/06/2013,4731.7,4830.5,4731.7,4811.3,0,4811.3
26/06/2013,4656,4749.7,4656,4731.7,0,4731.7
25/06/2013,4669.1,4688.2,4632.3,4656,0,4656
24/06/2013,4738.8,4738.8,4662.3,4669.1,0,4669.1
21/06/2013,4758.1,4758.1,4683.3,4738.8,0,4738.8
20/06/2013,4861.4,4861.4,4729,4758.4,0,4758.4
19/06/2013,4814.4,4861.4,4814.4,4861.4,0,4861.4
18/06/2013,4825.9,4825.9,4767.5,4814.4,0,4814.4
17/06/2013,4773.2,4825.9,4743.3,4825.9,0,4825.9
14/06/2013,4695.8,4792.6,4695.8,4791.8,0,4791.8
13/06/2013,4724.5,4724.5,4658.6,4695.8,0,4695.8
12/06/2013,4757.1,4757.1,4710,4724.5,0,4724.5
11/06/2013,4737.7,4758.4,4735.4,4757.1,0,4757.1
7/06/2013,4781.2,4783.3,4732.3,4737.7,0,4737.7
6/06/2013,4832,4832,4778.1,4781.2,0,4781.2
5/06/2013,4900.8,4900.8,4831.1,4835.2,0,4835.2
4/06/2013,4888.3,4907.2,4864.7,4900.8,0,4900.8
3/06/2013,4926.6,4933.3,4888.3,4888.3,0,4888.3
31/05/2013,4942.2,4962.9,4922.8,4926.6,0,4926.6
30/05/2013,4974.7,4974.7,4897.9,4930.7,0,4930.7
29/05/2013,4970.7,4993.2,4960.3,4974.7,0,4974.7
28/05/2013,4959.1,4981.3,4950.1,4970.7,0,4970.7
27/05/2013,4983.8,4983.9,4931.2,4959.9,0,4959.9
24/05/2013,5062.4,5083.5,4954.9,4983.5,0,4983.5
23/05/2013,5160.2,5160.2,5058.6,5062.4,0,5062.4
22/05/2013,5187.5,5203.4,5154,5165.4,0,5165.4
21/05/2013,5207.8,5207.8,5160.6,5180.1,0,5180.1
20/05/2013,5187.2,5246.9,5187.2,5209,0,5209
17/05/2013,5175.6,5194.9,5168.6,5180.8,0,5180.8
16/05/2013,5191.7,5211.6,5156.8,5165.7,0,5165.7
15/05/2013,5222.3,5249.6,5168.5,5191.7,0,5191.7
14/05/2013,5210.3,5227.1,5207.1,5221,0,5221
13/05/2013,5203.5,5219.2,5190.2,5210.3,0,5210.3
10/05/2013,5200,5242.5,5198.2,5206.1,0,5206.1
9/05/2013,5194.2,5211.5,5182.3,5198.4,0,5198.4
8/05/2013,5152.4,5201.9,5150.4,5199.8,0,5199.8
7/05/2013,5162.7,5166.7,5118.9,5143.7,0,5143.7
6/05/2013,5146.7,5201.3,5145.5,5156.2,0,5156.2
3/05/2013,5130,5183.2,5126.5,5129.5,0,5129.5
2/05/2013,5166.2,5166.2,5117.4,5130,0,5130
1/05/2013,5187.3,5188.1,5159.6,5166.2,0,5166.2
30/04/2013,5125.8,5195.1,5125.8,5191.2,0,5191.2
29/04/2013,5097.5,5130.3,5097.5,5125.8,0,5125.8
26/04/2013,5113.9,5135,5097.4,5097.5,0,5097.5
24/04/2013,5022.9,5103.6,5022.9,5102.4,0,5102.4
23/04/2013,4966.6,5036.5,4966.6,5016.2,0,5016.2
22/04/2013,4931.9,4966.6,4931.9,4966.6,0,4966.6
19/04/2013,4924.4,4960.4,4918.4,4931.9,0,4931.9
18/04/2013,4988.5,4992.6,4924.4,4924.4,0,4924.4
17/04/2013,4950.8,5006.1,4950.8,5004.6,0,5004.6
16/04/2013,4967.9,4967.9,4914,4950.8,0,4950.8
15/04/2013,5005.3,5005.3,4933.3,4967.9,0,4967.9
12/04/2013,5006.5,5023,5006.1,5013.5,0,5013.5
11/04/2013,4968,5013.2,4968,5007.1,0,5007.1
10/04/2013,4987.2,4991.9,4956.3,4968,0,4968
9/04/2013,4905.5,4976.9,4905.5,4976.8,0,4976.8
8/04/2013,4891.4,4914,4889.6,4905.5,0,4905.5
5/04/2013,4919.9,4924,4883.7,4891.4,0,4891.4
4/04/2013,4949.9,4949.9,4902.2,4913.5,0,4913.5
3/04/2013,4989.8,5011.9,4934.6,4957.7,0,4957.7
2/04/2013,4966.5,5005.6,4964.8,4985.5,0,4985.5
28/03/2013,4995,4995,4966.5,4966.5,0,4966.5
27/03/2013,4959.2,4995,4956.8,4995,0,4995
26/03/2013,4981,4981,4942.5,4950.2,0,4950.2
25/03/2013,4968.8,5023.2,4968.8,4990.2,0,4990.2
22/03/2013,4956.3,4983.6,4927.9,4967.3,0,4967.3
21/03/2013,4967.3,4998.9,4947.8,4959.4,0,4959.4
20/03/2013,4987.4,4988.1,4937.5,4967.4,0,4967.4
19/03/2013,5023.1,5057.4,4987.4,4987.4,0,4987.4
18/03/2013,5101.7,5101.7,5014.7,5015.4,0,5015.4
15/03/2013,5032.2,5120.2,5032.2,5120.2,0,5120.2
14/03/2013,5089.7,5103.4,5032.2,5032.2,0,5032.2
13/03/2013,5120.8,5121.8,5079.9,5092.4,0,5092.4
12/03/2013,5150.5,5163.5,5117.9,5117.9,0,5117.9
11/03/2013,5120.8,5148.4,5115,5146.9,0,5146.9
8/03/2013,5109.2,5131.2,5102,5123.4,0,5123.4
7/03/2013,5120,5135.7,5086.5,5109.2,0,5109.2
6/03/2013,5075.4,5131.6,5075.4,5116.8,0,5116.8
5/03/2013,5010.5,5095,5010.5,5075.4,0,5075.4
4/03/2013,5086.1,5086.1,5009.6,5010.5,0,5010.5
1/03/2013,5104.1,5104.1,5062.1,5086.1,0,5086.1
28/02/2013,5036.6,5112.5,5036.6,5104.1,0,5104.1
27/02/2013,5011.6,5043.2,5011.6,5036.6,0,5036.6
26/02/2013,5036.8,5038.6,4978.4,5003.6,0,5003.6
25/02/2013,5016.8,5064.3,5016.8,5055.8,0,5055.8
22/02/2013,4980.1,5055.3,4975.9,5018.1,0,5018.1
21/02/2013,5069.2,5076,4980.1,4980.1,0,4980.1
20/02/2013,5081.9,5106.6,5081.9,5098.7,0,5098.7
19/02/2013,5063.4,5081.9,5045.8,5081.9,0,5081.9
18/02/2013,5041.2,5070.5,5030.9,5063.4,0,5063.4
15/02/2013,5031.9,5044.4,5021,5033.9,0,5033.9
14/02/2013,5003.7,5045.4,4998.3,5036.9,0,5036.9
13/02/2013,4959,5013.6,4959,5003.7,0,5003.7
12/02/2013,4959.5,4981.5,4959,4959,0,4959
11/02/2013,4971.3,4977.8,4959.5,4959.5,0,4959.5
8/02/2013,4932.9,4971.3,4928.5,4971.3,0,4971.3
7/02/2013,4914.9,4938.2,4907.9,4935.7,0,4935.7
6/02/2013,4882.7,4931.2,4882.7,4921,0,4921
